V (MPH);J;Pe;Ct;Cp;PWR (HP);Torque (IN.LBF);Thrust (LBF);DIAMETER (IN);PITCH (IN);TYPE;BLADE(nb);COMP;RPM
2.6;0.03;0.0534;0.1232;0.0635;0.511;3.219;3.923;10;5.5;MR;2;2;10000
5.2;0.06;0.1071;0.1221;0.0627;0.504;3.178;3.888;10;5.5;MR;2;2;10000
7.8;0.08;0.1611;0.1208;0.0619;0.498;3.138;3.848;10;5.5;MR;2;2;10000
10.4;0.11;0.2149;0.1193;0.0611;0.492;3.098;3.802;10;5.5;MR;2;2;10000
13.0;0.14;0.2683;0.1176;0.0603;0.485;3.058;3.748;10;5.5;MR;2;2;10000
15.6;0.17;0.321;0.1157;0.0595;0.479;3.016;3.686;10;5.5;MR;2;2;10000
18.2;0.19;0.3726;0.1135;0.0586;0.472;2.973;3.615;10;5.5;MR;2;2;10000
20.8;0.22;0.4225;0.1109;0.0577;0.464;2.927;3.532;10;5.5;MR;2;2;10000
23.4;0.25;0.4703;0.1078;0.0567;0.456;2.877;3.434;10;5.5;MR;2;2;10000
26.0;0.28;0.5153;0.1043;0.0557;0.448;2.822;3.322;10;5.5;MR;2;2;10000
28.7;0.3;0.5563;0.1004;0.0546;0.439;2.769;3.199;10;5.5;MR;2;2;10000
31.3;0.33;0.5932;0.0962;0.0536;0.431;2.715;3.066;10;5.5;MR;2;2;10000
33.9;0.36;0.6265;0.0918;0.0524;0.421;2.656;2.924;10;5.5;MR;2;2;10000
36.5;0.39;0.6567;0.0871;0.051;0.411;2.588;2.773;10;5.5;MR;2;2;10000
39.1;0.41;0.6842;0.0822;0.0496;0.399;2.513;2.618;10;5.5;MR;2;2;10000
41.7;0.44;0.7092;0.0772;0.0479;0.385;2.429;2.459;10;5.5;MR;2;2;10000
44.3;0.47;0.7319;0.072;0.046;0.37;2.332;2.294;10;5.5;MR;2;2;10000
46.9;0.5;0.7522;0.0666;0.0439;0.353;2.223;2.122;10;5.5;MR;2;2;10000
49.5;0.52;0.7697;0.0611;0.0415;0.334;2.104;1.947;10;5.5;MR;2;2;10000
52.1;0.55;0.7845;0.0555;0.0389;0.313;1.972;1.767;10;5.5;MR;2;2;10000
54.7;0.58;0.7964;0.0497;0.0361;0.29;1.829;1.584;10;5.5;MR;2;2;10000
57.3;0.61;0.8037;0.0439;0.033;0.266;1.675;1.397;10;5.5;MR;2;2;10000
59.9;0.63;0.8065;0.0379;0.0297;0.239;1.507;1.207;10;5.5;MR;2;2;10000
62.5;0.66;0.8029;0.0318;0.0261;0.21;1.326;1.013;10;5.5;MR;2;2;10000
65.1;0.69;0.7885;0.0256;0.0223;0.18;1.133;0.816;10;5.5;MR;2;2;10000
67.7;0.72;0.7547;0.0193;0.0183;0.147;0.929;0.616;10;5.5;MR;2;2;10000
70.3;0.74;0.6785;0.013;0.0142;0.114;0.719;0.413;10;5.5;MR;2;2;10000
72.9;0.77;0.494;0.0065;0.0102;0.082;0.515;0.207;10;5.5;MR;2;2;10000
75.5;0.8;-0.005;0.0;0.0063;0.051;0.32;-0.001;10;5.5;MR;2;2;10000
0.0;0.0;0.0;0.1256;0.0722;0.773;4.429;4.841;10;5.5;MR;2;2;11000
2.9;0.03;0.0487;0.1246;0.0705;0.755;4.325;4.804;10;5.5;MR;2;2;11000
5.7;0.06;0.0989;0.1235;0.0688;0.737;4.222;4.76;10;5.5;MR;2;2;11000
8.6;0.08;0.1503;0.1222;0.0672;0.719;4.122;4.71;10;5.5;MR;2;2;11000
11.5;0.11;0.2027;0.1207;0.0656;0.703;4.026;4.652;10;5.5;MR;2;2;11000
14.3;0.14;0.2558;0.119;0.0641;0.686;3.93;4.585;10;5.5;MR;2;2;11000
17.2;0.17;0.3092;0.1169;0.0625;0.669;3.835;4.507;10;5.5;MR;2;2;11000
20.1;0.19;0.3624;0.1146;0.061;0.653;3.742;4.418;10;5.5;MR;2;2;11000
23.0;0.22;0.4147;0.1119;0.0595;0.637;3.649;4.315;10;5.5;MR;2;2;11000
25.8;0.25;0.4652;0.1088;0.058;0.621;3.556;4.192;10;5.5;MR;2;2;11000
28.7;0.28;0.513;0.1051;0.0565;0.605;3.464;4.052;10;5.5;MR;2;2;11000
31.6;0.3;0.5561;0.1011;0.0551;0.59;3.381;3.898;10;5.5;MR;2;2;11000
34.4;0.33;0.5944;0.0968;0.0539;0.577;3.305;3.733;10;5.5;MR;2;2;11000
37.3;0.36;0.6285;0.0923;0.0526;0.563;3.226;3.557;10;5.5;MR;2;2;11000
40.2;0.39;0.6593;0.0875;0.0512;0.548;3.139;3.371;10;5.5;MR;2;2;11000
43.0;0.41;0.6872;0.0825;0.0496;0.531;3.045;3.181;10;5.5;MR;2;2;11000
45.9;0.44;0.7126;0.0775;0.0479;0.513;2.94;2.986;10;5.5;MR;2;2;11000
48.8;0.47;0.7357;0.0722;0.046;0.492;2.82;2.783;10;5.5;MR;2;2;11000
51.7;0.5;0.7566;0.0668;0.0438;0.469;2.684;2.573;10;5.5;MR;2;2;11000
54.5;0.52;0.7747;0.0612;0.0414;0.443;2.537;2.359;10;5.5;MR;2;2;11000
57.4;0.55;0.7901;0.0555;0.0387;0.415;2.376;2.141;10;5.5;MR;2;2;11000
60.3;0.58;0.8025;0.0498;0.0359;0.384;2.203;1.92;10;5.5;MR;2;2;11000
63.1;0.61;0.8106;0.044;0.0329;0.352;2.016;1.694;10;5.5;MR;2;2;11000
66.0;0.63;0.8143;0.038;0.0295;0.316;1.813;1.464;10;5.5;MR;2;2;11000
68.9;0.66;0.8114;0.0319;0.026;0.278;1.593;1.229;10;5.5;MR;2;2;11000
71.7;0.69;0.7979;0.0257;0.0222;0.237;1.36;0.99;10;5.5;MR;2;2;11000
74.6;0.72;0.7651;0.0194;0.0182;0.195;1.115;0.748;10;5.5;MR;2;2;11000
77.5;0.74;0.6892;0.013;0.0141;0.15;0.862;0.502;10;5.5;MR;2;2;11000
80.4;0.77;0.5046;0.0066;0.01;0.107;0.615;0.253;10;5.5;MR;2;2;11000
83.2;0.8;-0.0006;0.0;0.0062;0.067;0.381;0.0;10;5.5;MR;2;2;11000
0.0;0.0;0.0;0.1271;0.0803;1.116;5.864;5.833;10;5.5;MR;2;2;12000
3.1;0.03;0.0449;0.1262;0.0777;1.08;5.673;5.788;10;5.5;MR;2;2;12000
6.3;0.06;0.092;0.125;0.0752;1.045;5.488;5.736;10;5.5;MR;2;2;12000
9.4;0.08;0.1413;0.1237;0.0726;1.01;5.304;5.674;10;5.5;MR;2;2;12000
12.6;0.11;0.1924;0.1221;0.0702;0.976;5.128;5.602;10;5.5;MR;2;2;12000
15.7;0.14;0.2451;0.1203;0.0679;0.944;4.957;5.52;10;5.5;MR;2;2;12000
18.9;0.17;0.299;0.1182;0.0656;0.912;4.791;5.423;10;5.5;MR;2;2;12000
22.0;0.19;0.3536;0.1158;0.0634;0.882;4.63;5.313;10;5.5;MR;2;2;12000
25.1;0.22;0.4081;0.1131;0.0613;0.852;4.475;5.186;10;5.5;MR;2;2;12000
28.3;0.25;0.4611;0.1097;0.0593;0.824;4.326;5.034;10;5.5;MR;2;2;12000
31.4;0.28;0.5115;0.106;0.0573;0.797;4.184;4.861;10;5.5;MR;2;2;12000
34.6;0.3;0.5567;0.1018;0.0557;0.774;4.064;4.671;10;5.5;MR;2;2;12000
37.7;0.33;0.5963;0.0974;0.0542;0.754;3.959;4.468;10;5.5;MR;2;2;12000
40.9;0.36;0.6312;0.0927;0.0528;0.734;3.856;4.253;10;5.5;MR;2;2;12000
44.0;0.39;0.6624;0.0878;0.0513;0.713;3.747;4.028;10;5.5;MR;2;2;12000
47.1;0.41;0.6907;0.0828;0.0497;0.691;3.631;3.797;10;5.5;MR;2;2;12000
50.3;0.44;0.7164;0.0777;0.048;0.667;3.502;3.562;10;5.5;MR;2;2;12000
53.4;0.47;0.74;0.0723;0.0459;0.639;3.354;3.317;10;5.5;MR;2;2;12000
56.6;0.5;0.7613;0.0668;0.0437;0.607;3.19;3.065;10;5.5;MR;2;2;12000
59.7;0.53;0.78;0.0612;0.0412;0.573;3.011;2.807;10;5.5;MR;2;2;12000
62.9;0.55;0.7959;0.0555;0.0386;0.536;2.817;2.546;10;5.5;MR;2;2;12000
66.0;0.58;0.8087;0.0497;0.0357;0.496;2.607;2.28;10;5.5;MR;2;2;12000
69.2;0.61;0.8174;0.0438;0.0326;0.453;2.379;2.008;10;5.5;MR;2;2;12000
72.3;0.64;0.8216;0.0377;0.0292;0.406;2.132;1.73;10;5.5;MR;2;2;12000
75.4;0.66;0.8192;0.0316;0.0256;0.356;1.871;1.451;10;5.5;MR;2;2;12000
78.6;0.69;0.8056;0.0254;0.0218;0.303;1.592;1.166;10;5.5;MR;2;2;12000
81.7;0.72;0.7727;0.0192;0.0179;0.249;1.308;0.883;10;5.5;MR;2;2;12000
84.9;0.75;0.6953;0.0129;0.0139;0.193;1.014;0.593;10;5.5;MR;2;2;12000
88.0;0.77;0.5064;0.0065;0.01;0.138;0.726;0.298;10;5.5;MR;2;2;12000
91.2;0.8;-0.0001;0.0;0.0062;0.086;0.454;0.0;10;5.5;MR;2;2;12000
0.0;0.0;0.0;0.1288;0.0889;1.571;7.618;6.932;10;5.5;MR;2;2;13000
3.4;0.03;0.0415;0.1278;0.0854;1.509;7.314;6.881;10;5.5;MR;2;2;13000
6.8;0.06;0.0857;0.1266;0.0819;1.447;7.014;6.818;10;5.5;MR;2;2;13000
10.2;0.08;0.1328;0.1253;0.0784;1.386;6.72;6.744;10;5.5;MR;2;2;13000
13.6;0.11;0.1824;0.1237;0.0751;1.328;6.438;6.658;10;5.5;MR;2;2;13000
17.1;0.14;0.2345;0.1218;0.072;1.272;6.168;6.558;10;5.5;MR;2;2;13000
20.5;0.17;0.2886;0.1197;0.0689;1.219;5.908;6.442;10;5.5;MR;2;2;13000
23.9;0.19;0.3441;0.1172;0.066;1.167;5.659;6.309;10;5.5;MR;2;2;13000
27.3;0.22;0.4005;0.1143;0.0633;1.118;5.422;6.155;10;5.5;MR;2;2;13000
30.7;0.25;0.4557;0.1109;0.0607;1.073;5.201;5.972;10;5.5;MR;2;2;13000
34.1;0.28;0.5087;0.107;0.0583;1.03;4.994;5.761;10;5.5;MR;2;2;13000
37.5;0.3;0.556;0.1027;0.0563;0.995;4.826;5.531;10;5.5;MR;2;2;13000
40.9;0.33;0.5969;0.0982;0.0547;0.967;4.687;5.286;10;5.5;MR;2;2;13000
44.3;0.36;0.6325;0.0934;0.0532;0.94;4.557;5.028;10;5.5;MR;2;2;13000
47.8;0.39;0.6642;0.0884;0.0516;0.912;4.423;4.758;10;5.5;MR;2;2;13000
51.2;0.42;0.6929;0.0833;0.05;0.883;4.282;4.485;10;5.5;MR;2;2;13000
54.6;0.44;0.719;0.0781;0.0482;0.851;4.126;4.205;10;5.5;MR;2;2;13000
58.0;0.47;0.743;0.0727;0.0461;0.815;3.95;3.914;10;5.5;MR;2;2;13000
61.4;0.5;0.7648;0.0672;0.0438;0.774;3.754;3.616;10;5.5;MR;2;2;13000
64.8;0.53;0.784;0.0615;0.0413;0.73;3.539;3.312;10;5.5;MR;2;2;13000
68.2;0.55;0.8005;0.0557;0.0386;0.682;3.307;3.001;10;5.5;MR;2;2;13000
71.6;0.58;0.814;0.0499;0.0357;0.63;3.056;2.686;10;5.5;MR;2;2;13000
75.0;0.61;0.8235;0.0439;0.0325;0.574;2.785;2.364;10;5.5;MR;2;2;13000
78.5;0.64;0.8284;0.0378;0.0291;0.514;2.493;2.036;10;5.5;MR;2;2;13000
81.9;0.67;0.8267;0.0317;0.0255;0.451;2.187;1.709;10;5.5;MR;2;2;13000
85.3;0.69;0.8141;0.0256;0.0218;0.385;1.865;1.377;10;5.5;MR;2;2;13000
88.7;0.72;0.7817;0.0193;0.0178;0.315;1.525;1.04;10;5.5;MR;2;2;13000
92.1;0.75;0.7042;0.013;0.0138;0.243;1.179;0.697;10;5.5;MR;2;2;13000
95.5;0.78;0.5172;0.0065;0.0098;0.174;0.842;0.353;10;5.5;MR;2;2;13000
98.9;0.8;-0.0011;0.0;0.006;0.107;0.517;0.0;10;5.5;MR;2;2;13000
0.0;0.0;0.0;0.1304;0.0982;2.167;9.756;8.14;10;5.5;MR;2;2;13999
3.7;0.03;0.0384;0.1295;0.0937;2.068;9.308;8.083;10;5.5;MR;2;2;13999
7.4;0.06;0.0801;0.1283;0.0891;1.968;8.859;8.011;10;5.5;MR;2;2;13999
11.1;0.08;0.125;0.1269;0.0847;1.87;8.418;7.924;10;5.5;MR;2;2;13999
14.8;0.11;0.1733;0.1253;0.0804;1.775;7.993;7.822;10;5.5;MR;2;2;13999
18.4;0.14;0.2247;0.1234;0.0764;1.686;7.591;7.704;10;5.5;MR;2;2;13999
22.1;0.17;0.2789;0.1212;0.0725;1.601;7.207;7.566;10;5.5;MR;2;2;13999
25.8;0.19;0.3354;0.1186;0.0689;1.52;6.843;7.406;10;5.5;MR;2;2;13999
29.5;0.22;0.3936;0.1157;0.0654;1.444;6.499;7.221;10;5.5;MR;2;2;13999
33.2;0.25;0.4512;0.1121;0.0622;1.374;6.184;7.001;10;5.5;MR;2;2;13999
36.9;0.28;0.5067;0.1081;0.0593;1.31;5.897;6.748;10;5.5;MR;2;2;13999
40.6;0.31;0.5561;0.1036;0.057;1.259;5.666;6.471;10;5.5;MR;2;2;13999
44.3;0.33;0.5983;0.0989;0.0552;1.218;5.485;6.177;10;5.5;MR;2;2;13999
47.9;0.36;0.6346;0.094;0.0536;1.183;5.324;5.87;10;5.5;MR;2;2;13999
51.6;0.39;0.6667;0.0889;0.0519;1.147;5.162;5.552;10;5.5;MR;2;2;13999
55.3;0.42;0.6956;0.0838;0.0503;1.109;4.994;5.23;10;5.5;MR;2;2;13999
59.0;0.45;0.7222;0.0785;0.0484;1.067;4.805;4.899;10;5.5;MR;2;2;13999
62.7;0.47;0.7465;0.073;0.0463;1.021;4.596;4.559;10;5.5;MR;2;2;13999
66.4;0.5;0.7687;0.0674;0.0439;0.969;4.364;4.21;10;5.5;MR;2;2;13999
70.1;0.53;0.7884;0.0617;0.0414;0.913;4.11;3.852;10;5.5;MR;2;2;13999
73.8;0.56;0.8055;0.0559;0.0386;0.852;3.834;3.487;10;5.5;MR;2;2;13999
77.4;0.58;0.8194;0.0499;0.0356;0.785;3.534;3.115;10;5.5;MR;2;2;13999
81.1;0.61;0.8295;0.0438;0.0323;0.714;3.212;2.736;10;5.5;MR;2;2;13999
84.8;0.64;0.835;0.0377;0.0289;0.637;2.869;2.353;10;5.5;MR;2;2;13999
88.5;0.67;0.8335;0.0316;0.0253;0.558;2.514;1.972;10;5.5;MR;2;2;13999
92.2;0.7;0.8209;0.0254;0.0215;0.475;2.138;1.585;10;5.5;MR;2;2;13999
95.9;0.72;0.7874;0.0191;0.0175;0.387;1.743;1.192;10;5.5;MR;2;2;13999
99.6;0.75;0.7057;0.0127;0.0135;0.298;1.343;0.793;10;5.5;MR;2;2;13999
103.3;0.78;0.5041;0.0062;0.0095;0.211;0.949;0.386;10;5.5;MR;2;2;13999
107.0;0.81;-0.0017;0.0;0.006;0.133;0.598;-0.001;10;5.5;MR;2;2;13999
0.0;0.0;0.0;0.132;0.1079;2.931;12.313;9.461;10;5.5;MR;2;2;15000
3.9;0.03;0.0355;0.1311;0.1023;2.777;11.666;9.399;10;5.5;MR;2;2;15000
7.9;0.06;0.0744;0.13;0.0968;2.628;11.042;9.319;10;5.5;MR;2;2;15000
11.8;0.08;0.117;0.1286;0.0914;2.481;10.425;9.22;10;5.5;MR;2;2;15000
15.7;0.11;0.1634;0.127;0.0861;2.338;9.825;9.102;10;5.5;MR;2;2;15000
19.7;0.14;0.2135;0.1251;0.0812;2.203;9.258;8.964;10;5.5;MR;2;2;15000
23.6;0.17;0.267;0.1228;0.0765;2.077;8.725;8.805;10;5.5;MR;2;2;15000
27.6;0.19;0.3236;0.1203;0.0721;1.957;8.222;8.619;10;5.5;MR;2;2;15000
31.5;0.22;0.3827;0.1173;0.0679;1.845;7.75;8.405;10;5.5;MR;2;2;15000
35.4;0.25;0.4422;0.1137;0.0642;1.742;7.318;8.152;10;5.5;MR;2;2;15000
39.4;0.28;0.4998;0.1096;0.0608;1.65;6.932;7.855;10;5.5;MR;2;2;15000
43.3;0.3;0.552;0.1051;0.058;1.575;6.619;7.53;10;5.5;MR;2;2;15000
47.2;0.33;0.5956;0.1003;0.056;1.52;6.387;7.188;10;5.5;MR;2;2;15000
51.2;0.36;0.6327;0.0953;0.0543;1.473;6.19;6.831;10;5.5;MR;2;2;15000
55.1;0.39;0.6653;0.0901;0.0526;1.427;5.997;6.461;10;5.5;MR;2;2;15000
59.0;0.42;0.6947;0.0849;0.0508;1.38;5.797;6.087;10;5.5;MR;2;2;15000
63.0;0.44;0.7217;0.0796;0.0489;1.328;5.579;5.705;10;5.5;MR;2;2;15000
66.9;0.47;0.7465;0.0742;0.0468;1.271;5.338;5.315;10;5.5;MR;2;2;15000
70.9;0.5;0.7692;0.0686;0.0445;1.207;5.072;4.914;10;5.5;MR;2;2;15000
74.8;0.53;0.7896;0.0628;0.0419;1.137;4.779;4.503;10;5.5;MR;2;2;15000
78.7;0.55;0.8075;0.057;0.0391;1.061;4.46;4.082;10;5.5;MR;2;2;15000
82.7;0.58;0.8224;0.051;0.0361;0.979;4.115;3.654;10;5.5;MR;2;2;15000
86.6;0.61;0.8337;0.0449;0.0329;0.892;3.748;3.22;10;5.5;MR;2;2;15000
90.5;0.64;0.8406;0.0388;0.0294;0.799;3.357;2.782;10;5.5;MR;2;2;15000
94.5;0.67;0.8413;0.0328;0.0259;0.704;2.956;2.349;10;5.5;MR;2;2;15000
98.4;0.69;0.8305;0.0261;0.0218;0.592;2.488;1.874;10;5.5;MR;2;2;15000
102.3;0.72;0.7894;0.0201;0.0183;0.498;2.092;1.44;10;5.5;MR;2;2;15000
106.3;0.75;0.726;0.0134;0.0138;0.375;1.577;0.962;10;5.5;MR;2;2;15000
110.2;0.78;0.5377;0.0067;0.0097;0.264;1.108;0.482;10;5.5;MR;2;2;15000
114.2;0.8;-0.0022;0.0;0.0057;0.156;0.656;-0.001;10;5.5;MR;2;2;15000
0.0;0.0;0.0;0.1336;0.1184;3.901;15.366;10.895;10;5.5;MR;2;2;16000
4.2;0.03;0.033;0.1328;0.1118;3.685;14.515;10.831;10;5.5;MR;2;2;16000
8.4;0.06;0.0695;0.1318;0.1052;3.468;13.66;10.747;10;5.5;MR;2;2;16000
12.6;0.08;0.1101;0.1304;0.0987;3.253;12.812;10.638;10;5.5;MR;2;2;16000
16.8;0.11;0.155;0.1288;0.0923;3.041;11.978;10.502;10;5.5;MR;2;2;16000
21.0;0.14;0.2043;0.1268;0.0862;2.84;11.186;10.344;10;5.5;MR;2;2;16000
25.2;0.17;0.2577;0.1246;0.0805;2.653;10.451;10.158;10;5.5;MR;2;2;16000
29.4;0.19;0.3148;0.1219;0.0753;2.48;9.768;9.943;10;5.5;MR;2;2;16000
33.7;0.22;0.375;0.1189;0.0704;2.32;9.137;9.693;10;5.5;MR;2;2;16000
37.9;0.25;0.4365;0.1153;0.066;2.174;8.564;9.401;10;5.5;MR;2;2;16000
42.1;0.28;0.4961;0.111;0.0621;2.047;8.065;9.055;10;5.5;MR;2;2;16000
46.3;0.31;0.5505;0.1064;0.059;1.944;7.659;8.675;10;5.5;MR;2;2;16000
50.5;0.33;0.5951;0.1015;0.0568;1.872;7.372;8.275;10;5.5;MR;2;2;16000
54.7;0.36;0.6327;0.0964;0.055;1.812;7.136;7.861;10;5.5;MR;2;2;16000
58.9;0.39;0.6656;0.0912;0.0532;1.754;6.908;7.433;10;5.5;MR;2;2;16000
63.1;0.42;0.6952;0.0859;0.0514;1.695;6.675;7.002;10;5.5;MR;2;2;16000
67.3;0.44;0.7225;0.0805;0.0495;1.63;6.42;6.561;10;5.5;MR;2;2;16000
71.5;0.47;0.7476;0.0749;0.0473;1.559;6.139;6.11;10;5.5;MR;2;2;16000
75.7;0.5;0.7706;0.0693;0.0449;1.48;5.83;5.649;10;5.5;MR;2;2;16000
79.9;0.53;0.7913;0.0635;0.0423;1.394;5.492;5.177;10;5.5;MR;2;2;16000
84.1;0.56;0.8096;0.0575;0.0395;1.3;5.122;4.692;10;5.5;MR;2;2;16000
88.3;0.58;0.8248;0.0515;0.0364;1.199;4.723;4.198;10;5.5;MR;2;2;16000
92.5;0.61;0.8365;0.0453;0.0331;1.09;4.294;3.695;10;5.5;MR;2;2;16000
96.7;0.64;0.8437;0.039;0.0295;0.973;3.833;3.182;10;5.5;MR;2;2;16000
101.0;0.67;0.8444;0.0329;0.026;0.857;3.374;2.687;10;5.5;MR;2;2;16000
105.2;0.69;0.835;0.0268;0.0223;0.735;2.897;2.19;10;5.5;MR;2;2;16000
109.4;0.72;0.8058;0.0204;0.0183;0.603;2.375;1.666;10;5.5;MR;2;2;16000
113.6;0.75;0.7298;0.0139;0.0143;0.472;1.859;1.137;10;5.5;MR;2;2;16000
117.8;0.78;0.5348;0.0067;0.0098;0.322;1.268;0.548;10;5.5;MR;2;2;16000
122.0;0.81;0.0202;0.0002;0.0066;0.219;0.862;0.014;10;5.5;MR;2;2;16000
0.0;0.0;0.0;0.1333;0.114;4.504;16.698;12.272;10;5.5;MR;2;2;17000
4.5;0.03;0.0342;0.1327;0.1082;4.276;15.853;12.216;10;5.5;MR;2;2;17000
9.0;0.06;0.0719;0.1319;0.1023;4.043;14.989;12.142;10;5.5;MR;2;2;17000
13.5;0.08;0.1136;0.1308;0.0964;3.809;14.122;12.041;10;5.5;MR;2;2;17000
18.0;0.11;0.1593;0.1293;0.0906;3.579;13.27;11.906;10;5.5;MR;2;2;17000
22.5;0.14;0.2095;0.1275;0.0849;3.355;12.438;11.739;10;5.5;MR;2;2;17000
26.9;0.17;0.2636;0.1254;0.0796;3.146;11.664;11.542;10;5.5;MR;2;2;17000
31.4;0.2;0.3207;0.1229;0.0748;2.957;10.963;11.313;10;5.5;MR;2;2;17000
35.9;0.22;0.3801;0.1199;0.0704;2.782;10.315;11.041;10;5.5;MR;2;2;17000
40.4;0.25;0.4406;0.1165;0.0663;2.622;9.722;10.721;10;5.5;MR;2;2;17000
44.9;0.28;0.4987;0.1122;0.0628;2.481;9.198;10.334;10;5.5;MR;2;2;17000
49.4;0.31;0.552;0.1075;0.0598;2.362;8.758;9.901;10;5.5;MR;2;2;17000
53.9;0.33;0.5959;0.1026;0.0576;2.277;8.443;9.444;10;5.5;MR;2;2;17000
58.4;0.36;0.6331;0.0974;0.0558;2.206;8.178;8.971;10;5.5;MR;2;2;17000
62.9;0.39;0.666;0.0921;0.054;2.135;7.915;8.482;10;5.5;MR;2;2;17000
67.4;0.42;0.6958;0.0867;0.0522;2.061;7.642;7.986;10;5.5;MR;2;2;17000
71.8;0.45;0.7233;0.0812;0.0501;1.981;7.344;7.478;10;5.5;MR;2;2;17000
76.3;0.47;0.7486;0.0756;0.0479;1.892;7.016;6.959;10;5.5;MR;2;2;17000
80.8;0.5;0.7718;0.0698;0.0454;1.795;6.653;6.426;10;5.5;MR;2;2;17000
85.3;0.53;0.7928;0.0639;0.0427;1.688;6.256;5.88;10;5.5;MR;2;2;17000
89.8;0.56;0.8111;0.0579;0.0398;1.573;5.831;5.327;10;5.5;MR;2;2;17000
94.3;0.59;0.8264;0.0518;0.0367;1.451;5.378;4.767;10;5.5;MR;2;2;17000
98.8;0.61;0.8381;0.0456;0.0334;1.321;4.897;4.202;10;5.5;MR;2;2;17000
103.3;0.64;0.8449;0.0393;0.0298;1.179;4.371;3.617;10;5.5;MR;2;2;17000
107.8;0.67;0.8443;0.0331;0.0262;1.036;3.84;3.043;10;5.5;MR;2;2;17000
112.3;0.7;0.8291;0.0262;0.022;0.871;3.229;2.412;10;5.5;MR;2;2;17000
116.7;0.73;0.7889;0.02;0.0184;0.727;2.695;1.842;10;5.5;MR;2;2;17000
121.2;0.75;0.6935;0.0133;0.0145;0.572;2.121;1.227;10;5.5;MR;2;2;17000
125.7;0.78;0.4635;0.0065;0.011;0.436;1.616;0.603;10;5.5;MR;2;2;17000
130.2;0.81;-0.0028;0.0;0.0082;0.326;1.207;-0.003;10;5.5;MR;2;2;17000
0.0;0.0;0.0;0.1331;0.11;5.161;18.069;13.733;10;5.5;MR;2;2;18000
4.7;0.03;0.035;0.1326;0.105;4.928;17.254;13.689;10;5.5;MR;2;2;18000
9.5;0.06;0.0733;0.1321;0.0999;4.688;16.416;13.633;10;5.5;MR;2;2;18000
14.2;0.08;0.1153;0.1313;0.0948;4.446;15.569;13.556;10;5.5;MR;2;2;18000
18.9;0.11;0.1613;0.1303;0.0896;4.202;14.714;13.447;10;5.5;MR;2;2;18000
23.6;0.14;0.2113;0.1287;0.0844;3.961;13.87;13.285;10;5.5;MR;2;2;18000
28.4;0.17;0.2652;0.1268;0.0795;3.73;13.059;13.083;10;5.5;MR;2;2;18000
33.1;0.19;0.322;0.1244;0.075;3.518;12.319;12.842;10;5.5;MR;2;2;18000
37.8;0.22;0.3799;0.1217;0.071;3.333;11.669;12.556;10;5.5;MR;2;2;18000
42.5;0.25;0.4383;0.1184;0.0674;3.162;11.072;12.219;10;5.5;MR;2;2;18000
47.3;0.28;0.4947;0.1143;0.0641;3.006;10.526;11.8;10;5.5;MR;2;2;18000
52.0;0.3;0.5471;0.1097;0.0611;2.868;10.042;11.319;10;5.5;MR;2;2;18000
56.7;0.33;0.5908;0.1047;0.059;2.766;9.686;10.807;10;5.5;MR;2;2;18000
61.4;0.36;0.628;0.0996;0.0571;2.681;9.386;10.276;10;5.5;MR;2;2;18000
66.2;0.39;0.6612;0.0942;0.0553;2.595;9.085;9.724;10;5.5;MR;2;2;18000
70.9;0.42;0.6914;0.0888;0.0534;2.505;8.771;9.162;10;5.5;MR;2;2;18000
75.6;0.44;0.7192;0.0832;0.0513;2.408;8.43;8.588;10;5.5;MR;2;2;18000
80.3;0.47;0.7447;0.0775;0.0491;2.301;8.058;8.0;10;5.5;MR;2;2;18000
85.1;0.5;0.7682;0.0717;0.0466;2.186;7.654;7.403;10;5.5;MR;2;2;18000
89.8;0.53;0.7897;0.0657;0.0438;2.056;7.199;6.781;10;5.5;MR;2;2;18000
94.5;0.55;0.8085;0.0596;0.0409;1.919;6.718;6.155;10;5.5;MR;2;2;18000
99.2;0.58;0.8236;0.0535;0.0378;1.774;6.212;5.522;10;5.5;MR;2;2;18000
104.0;0.61;0.8347;0.0471;0.0344;1.615;5.656;4.863;10;5.5;MR;2;2;18000
108.7;0.64;0.8405;0.0408;0.0309;1.451;5.08;4.207;10;5.5;MR;2;2;18000
113.4;0.67;0.8365;0.0344;0.0274;1.284;4.495;3.551;10;5.5;MR;2;2;18000
118.1;0.69;0.8171;0.028;0.0237;1.112;3.895;2.885;10;5.5;MR;2;2;18000
122.9;0.72;0.7704;0.0214;0.02;0.939;3.289;2.208;10;5.5;MR;2;2;18000
127.6;0.75;0.6664;0.0147;0.0165;0.772;2.705;1.513;10;5.5;MR;2;2;18000
132.3;0.78;0.4556;0.0078;0.0133;0.626;2.193;0.809;10;5.5;MR;2;2;18000
137.0;0.8;-0.0035;0.0;0.0097;0.456;1.598;-0.004;10;5.5;MR;2;2;18000
0.0;0.0;0.0;0.1333;0.1136;6.268;20.791;15.326;10;5.5;MR;2;2;19000
5.0;0.03;0.0338;0.133;0.1086;5.989;19.868;15.295;10;5.5;MR;2;2;19000
9.9;0.06;0.0708;0.1327;0.1033;5.702;18.916;15.255;10;5.5;MR;2;2;19000
14.9;0.08;0.1114;0.1322;0.0982;5.418;17.971;15.204;10;5.5;MR;2;2;19000
19.9;0.11;0.1563;0.1316;0.093;5.13;17.016;15.139;10;5.5;MR;2;2;19000
